,,, Experiment number: ,Unnamed: 1,#1767,Unnamed: 3
,,, Experiment date: ,,February-2-2018,
,,, Animal Strain: ,,,
,,, Animal Birthdate: ,,February-2-2018,
,,, Color of Animal: ,,Dark,
,,, Size of Animal: ,,Regular,
,,,Analysis Length:,,"23:51'38""",
,,,,,,
,,,Distance Traveled,=,257.51181,(meters)
,,,,,,
,,,,,,
 From Time ,  To Time  , Length(seconds) , Behavior ,Comment,,
"15:08'40""","15:08'40""",0.24,Rear Up,,Night,
"15:08'40""","15:08'43""",2.64,Eat Zone1,,>B_L(Night),
"15:08'43""","15:08'43""",0.72,Sniff,,,
"15:08'43""","15:08'44""",0.24,Come Down To Partially Reared,,>B_L(Night),
"15:08'44""","15:08'44""",0.08,Remain Partially Reared,,face-front/back(Night),
"15:08'44""","15:08'49""",5.00,Groom,,B_L<-HdW(Night),
"15:08'49""","15:08'49""",0.16,Dig,,Night,
"15:08'49""","15:08'49""",0.28,Remain Partially Reared,,face-front/back(Night),
"15:08'49""","15:08'49""",0.28,Forage,,Night,
"15:08'49""","15:08'50""",0.16,Dig,,Night,
"15:08'50""","15:08'50""",0.36,Forage,,Night,
"15:08'50""","15:08'51""",0.16,Dig,,Night,
"15:08'51""","15:08'51""",0.28,Rear up Partially,,Night,
"15:08'51""","15:08'52""",0.72,Remain Partially Reared,,Night,
"15:08'52""","15:08'52""",0.72,"RearUp(RUfromPR, RemainRU)",,Night,
"15:08'52""","15:08'53""",0.24,Come Down To Partially Reared,,,
"15:08'53""","15:08'53""",0.72,"RearUp(RUfromPR, RemainRU)",,,
"15:08'53""","15:08'53""",0.24,Come Down To Partially Reared,,face-front/back(Night),
"15:08'53""","15:08'54""",0.24,Remain Partially Reared,,Night,
"15:08'54""","15:08'54""",0.24,Come Down From Partially Reared,,Night,
"15:08'54""","15:08'54""",0.16,Forage,,Night,
"15:08'54""","15:08'55""",0.32,Forage,,Night,
"15:08'55""","15:08'56""",0.72,Remain RearUp,,Night,
"15:08'56""","15:08'56""",0.40,"ComeDown(CDtoPR, CDfromPR)",,Night,
"15:08'56""","15:08'57""",0.16,Dig,,,
"15:08'57""","15:08'57""",0.24,Forage,,Night,
"15:08'58""","15:08'58""",0.24,Rear up Partially,,Night,
"15:08'58""","15:08'58""",0.24,Remain Partially Reared,,Night,
"15:08'58""","15:08'58""",0.24,Rear up Full From Partial,,Night,
"15:08'58""","15:08'59""",0.24,Come Down To Partially Reared,,Night,
"15:08'59""","15:08'59""",0.24,Remain Partially Reared,,face-front/back(Night),
"15:08'59""","15:08'59""",0.24,Come Down From Partially Reared,,Night,
"15:08'59""","15:09'00""",1.00,Forage,,Night,
"15:09'00""","15:09'01""",0.24,Forage,,Night,
"15:09'01""","15:09'01""",0.32,Forage,,Night,
"15:09'01""","15:09'01""",0.16,Forage,,Night,
"15:09'01""","15:09'02""",0.76,Drink Spout1,,Night,
"15:09'02""","15:09'06""",3.60,Sniff,,,
"15:09'06""","15:09'06""",0.48,"RearUp(RUfromPR, RemainRU)",,Night,
"15:09'06""","15:09'06""",0.24,Come Down To Partially Reared,,,
"15:09'06""","15:09'07""",0.72,Drink Spout1,,Night,
"15:09'07""","15:09'08""",0.48,Sniff,,,
"15:09'08""","15:09'08""",0.96,Drink Spout1,,Night,
"15:09'08""","15:09'16""",7.20,Sniff,,,
"15:09'16""","15:09'16""",0.48,Drink Spout1,,Night,
"15:09'16""","15:09'20""",3.84,Sniff,,,
"15:09'20""","15:09'21""",0.96,Remain Partially Reared,,Night,
"15:09'21""","15:09'21""",0.48,Forage,,Night,
"15:09'21""","15:09'22""",0.24,Walk Left,,Night,
"15:09'22""","15:09'22""",0.16,Dig,,Night,
"15:09'22""","15:09'22""",0.24,Forage,,Night,
"15:09'22""","15:09'22""",0.16,Dig,,Night,
"15:09'23""","15:09'23""",0.16,Dig,,Night,
"15:09'23""","15:09'23""",0.20,Dig,,Night,
"15:09'24""","15:09'24""",0.16,Dig,,Night,
"15:09'24""","15:09'24""",0.28,Rear up Partially,,Night,
"15:09'24""","15:09'25""",0.96,Remain Partially Reared,,Night,
"15:09'25""","15:09'25""",0.24,Come Down From Partially Reared,,Night,
"15:09'25""","15:09'26""",0.24,Dig,,Night,
"15:09'26""","15:09'26""",0.48,Dig,,face-front/back(Night),
"15:09'26""","15:09'27""",0.44,Forage,,,
"15:09'27""","15:09'27""",0.24,Dig,,Night,
"15:09'27""","15:09'27""",0.32,Forage,,Night,
"15:09'28""","15:09'29""",0.88,Forage,,Night,
"15:09'29""","15:09'30""",0.64,Forage,,Night,
"15:09'30""","15:09'30""",0.16,Forage,,Night,
"15:09'31""","15:09'31""",0.32,Forage,,Night,
"15:09'31""","15:09'32""",0.40,Walk Slowly,,Night,
"15:09'32""","15:09'32""",0.24,Rear up Partially,,Night,
"15:09'32""","15:09'32""",0.48,Remain Partially Reared,,Night,
"15:09'32""","15:09'32""",0.24,Come Down From Partially Reared,,Night,
"15:09'33""","15:09'33""",0.16,Forage,,Night,
"15:09'33""","15:09'33""",0.24,Dig,,Night,
"15:09'33""","15:09'34""",0.52,Forage,,Night,
"15:09'34""","15:09'34""",0.40,Dig,,face-front/back(Night),
"15:09'34""","15:09'34""",0.28,Walk Slowly,,Night,
"15:09'34""","15:09'36""",1.24,Forage,,,
"15:09'36""","15:09'37""",0.72,Forage,,Night,
"15:09'37""","15:09'39""",1.88,Forage,,Night,
"15:09'39""","15:09'39""",0.20,Dig,,Night,
"15:09'39""","15:09'39""",0.28,Forage,,Night,
"15:09'39""","15:09'41""",1.24,Remain Partially Reared,,Night,
"15:09'41""","15:09'41""",0.32,Dig,,Night,
"15:09'41""","15:09'41""",0.24,Forage,,Night,
"15:09'41""","15:09'41""",0.20,Dig,,Night,
"15:09'45""","15:09'46""",1.60,Forage,,Night,
"15:09'46""","15:09'47""",0.16,Dig,,Night,
"15:09'47""","15:09'47""",0.32,Forage,,Night,
"15:09'47""","15:09'47""",0.16,Forage,,Night,
"15:09'47""","15:09'48""",0.32,Forage,,,
"15:09'48""","15:09'48""",0.28,Forage,,Night,
"15:09'48""","15:09'49""",0.76,Dig,,Night,
"15:09'49""","15:09'49""",0.24,Rear up Partially,,Night,
"15:09'49""","15:09'50""",0.48,Remain Partially Reared,,,
"15:09'50""","15:09'50""",0.24,Come Down From Partially Reared,,Night,
"15:09'50""","15:09'50""",0.16,Forage,,Night,
"15:09'50""","15:09'51""",0.24,Dig,,Night,
"15:09'51""","15:09'51""",0.16,Forage,,Night,
"15:09'51""","15:09'51""",0.20,Dig,,face-front/back(Night),
"15:09'52""","15:09'52""",0.36,Dig,,Night,
"15:09'52""","15:09'52""",0.16,Forage,,Night,
"15:09'53""","15:09'54""",1.32,Dig,,Night,
"15:09'54""","15:09'54""",0.08,Forage,,face-front/back(Night),
"15:09'54""","15:09'54""",0.28,Dig,,Night,
"15:09'54""","15:09'55""",0.36,Dig,,Night,
"15:09'55""","15:09'55""",0.08,Forage,,face-front/back(Night),
"15:09'55""","15:09'55""",0.32,Dig,,Night,
"15:09'55""","15:09'55""",0.24,Forage,,,
"15:09'55""","15:09'56""",0.16,Dig,,face-front/back(Night),
"15:09'56""","15:09'56""",0.32,Forage,,Night,
"15:09'56""","15:09'57""",0.64,Dig,,face-front/back(Night),
"15:10'01""","15:10'01""",0.28,Forage,,,
"15:10'01""","15:10'01""",0.32,Dig,,Night,
"15:10'01""","15:10'01""",0.08,Forage,,face-front/back(Night),
"15:10'01""","15:10'02""",0.32,Dig,,Night,
"15:10'02""","15:10'02""",0.08,Forage,,,
"15:10'02""","15:10'02""",0.32,Dig,,Night,
"15:10'02""","15:10'02""",0.08,Forage,,face-front/back(Night),
"15:10'02""","15:10'02""",0.20,Dig,,,
"15:10'02""","15:10'03""",1.00,Remain Partially Reared,,face-front/back(Night),
"15:10'03""","15:10'04""",0.16,Come Down From Partially Reared,,Night,
"15:10'04""","15:10'04""",0.36,Dig,,,
"15:10'04""","15:10'04""",0.28,Remain Partially Reared,,face-front/back(Night),
"15:10'04""","15:10'05""",0.24,Come Down From Partially Reared,,Night,
"15:10'06""","15:10'06""",0.36,Dig,,face-left(Night),
"15:10'07""","15:10'08""",1.08,Dig,,face-right(Night),
"15:10'08""","15:10'08""",0.08,Forage,,Night,
"15:10'08""","15:10'08""",0.36,Dig,,>PLR(Night),
"15:10'08""","15:10'08""",0.08,Forage,,Night,
"15:10'08""","15:10'09""",0.72,Dig,,>PLR(Night),
"15:10'09""","15:10'09""",0.08,Forage,,Night,
"15:10'09""","15:10'11""",1.40,Dig,,Night,
"15:10'11""","15:10'11""",0.16,Forage,,,
"15:10'11""","15:10'11""",0.28,Dig,,Night,
"15:10'11""","15:10'11""",0.16,Forage,,,
"15:10'11""","15:10'11""",0.12,Forage,,Night,
"15:10'11""","15:10'14""",2.24,Dig,,Night,
"15:10'14""","15:10'14""",0.28,Forage,,Night,
"15:10'14""","15:10'14""",0.16,Dig,,Night,
"15:10'14""","15:10'14""",0.08,Forage,,,
"15:10'14""","15:10'16""",1.40,Dig,,Night,
"15:10'16""","15:10'18""",1.56,Dig,,Night,
"15:10'18""","15:10'20""",1.96,Dig,,,
"15:10'20""","15:10'20""",0.28,Remain Partially Reared,,Night,
"15:10'20""","15:10'21""",0.20,Come Down From Partially Reared,,Night,
"15:10'21""","15:10'21""",0.08,Forage,,Night,
"15:10'21""","15:10'21""",0.16,Dig,,Night,
"15:10'21""","15:10'21""",0.24,Forage,,Night,
"15:10'21""","15:10'22""",0.72,Dig,,Night,
"15:10'22""","15:10'22""",0.40,Dig,,Night,
"15:10'23""","15:10'23""",0.76,Dig,,Night,
"15:10'23""","15:10'24""",0.44,Forage,,Night,
"15:10'24""","15:10'25""",0.80,Forage,,Night,
"15:10'25""","15:10'25""",0.52,Forage,,Night,
"15:10'26""","15:10'26""",0.32,Forage,,>PLR(Night),
"15:10'26""","15:10'26""",0.44,Forage,,Night,
"15:10'26""","15:10'27""",0.16,Dig,,>PLR(Night),
"15:10'27""","15:10'27""",0.08,Forage,,Night,
"15:10'27""","15:10'27""",0.72,Dig,,Night,
"15:10'28""","15:10'28""",0.52,Dig,,Night,
"15:10'28""","15:10'29""",0.32,Dig,,Night,
"15:10'29""","15:10'29""",0.36,Forage,,Night,
"15:10'30""","15:10'30""",0.56,Forage,,,
"15:10'30""","15:10'30""",0.16,Forage,,Night,
"15:10'30""","15:10'31""",0.24,Dig,,face-front/back(Night),
"15:10'31""","15:10'33""",1.52,Forage,,Night,
"15:10'33""","15:10'35""",2.32,Forage,,face-front/back(Night),
"15:10'35""","15:10'35""",0.44,Dig,,Night,
"15:10'35""","15:10'36""",0.16,Forage,,Night,
"15:10'36""","15:10'36""",0.16,Forage,,Night,
"15:10'36""","15:10'38""",1.60,Dig,,>PLF(Night),
"15:10'38""","15:10'38""",0.08,Forage,,,
"15:10'38""","15:10'38""",0.36,Dig,,Night,
"15:10'38""","15:10'39""",0.36,Forage,,,
"15:10'39""","15:10'40""",1.04,Dig,,Night,
"15:10'40""","15:10'41""",0.64,Forage,,face-front/back(Night),
"15:10'41""","15:10'41""",0.16,Forage,,>PLR(Night),
"15:10'41""","15:10'41""",0.20,Dig,,Night,
"15:10'41""","15:10'42""",0.56,Dig,,Night,
"15:10'42""","15:10'42""",0.20,Forage,,,
"15:10'42""","15:10'43""",1.04,Dig,,Night,
"15:10'43""","15:10'45""",2.16,Dig,,Night,
"15:10'45""","15:10'46""",0.36,Forage,,,
"15:10'46""","15:10'46""",0.56,Dig,,Night,
"15:10'46""","15:10'47""",0.48,Forage,,>PLR(Night),
"15:10'47""","15:10'47""",0.20,Forage,,,
"15:10'47""","15:10'49""",1.56,Forage,,,
"15:10'49""","15:10'50""",1.00,Dig,,Night,
"15:10'50""","15:10'50""",0.28,Remain Partially Reared,,,
"15:10'50""","15:10'50""",0.36,Dig,,Night,
"15:10'50""","15:10'51""",0.40,Forage,,Night,
"15:10'51""","15:10'53""",1.76,Dig,,,
"15:10'53""","15:10'53""",0.20,Forage,,Night,
"15:10'53""","15:10'54""",0.88,Dig,,>B_L(Night),
"15:10'54""","15:10'54""",0.08,Forage,,Night,
"15:10'54""","15:10'54""",0.16,Dig,,,
"15:10'54""","15:10'54""",0.16,Forage,,Night,
"15:10'54""","15:10'55""",0.68,Forage,,Night,
"15:10'55""","15:10'55""",0.20,Dig,,,
"15:10'55""","15:10'56""",0.68,Forage,,Night,
"15:10'56""","15:10'56""",0.68,Dig,,Night,
"15:10'56""","15:10'56""",0.08,Forage,,Night,
"15:10'56""","15:10'57""",1.04,Dig,,,
"15:10'57""","15:10'58""",0.08,Forage,,Night,
"15:10'58""","15:10'58""",0.16,Dig,,Night,
"15:10'58""","15:10'59""",0.96,Forage,,Night,
"15:10'59""","15:10'59""",0.24,Dig,,,
"15:11'00""","15:11'00""",0.36,Rear up Partially,,Night,
"15:11'00""","15:11'01""",0.96,Remain Partially Reared,,Night,
"15:11'01""","15:11'02""",0.24,Come Down From Partially Reared,,,
"15:11'02""","15:11'02""",0.16,Forage,,Night,
"15:11'02""","15:11'02""",0.20,Dig,,face-front/back(Night),
"15:11'09""","15:11'10""",0.92,Dig,,Night,
"15:11'11""","15:11'11""",0.24,Dig,,Night,
"15:11'11""","15:11'12""",0.84,Forage,,Night,
"15:11'12""","15:11'12""",0.28,Remain Partially Reared,,>HdW(Night),
"15:11'12""","15:11'12""",0.16,Come Down From Partially Reared,,face-front/back(Night),
"15:11'12""","15:11'12""",0.08,Forage,,,
"15:11'12""","15:11'14""",2.04,Forage,,Night,
"15:11'14""","15:11'15""",0.16,Forage,,,
"15:11'15""","15:11'15""",0.52,Forage,,face-front/back(Night),
"15:11'15""","15:11'16""",0.28,Forage,,,
"15:11'16""","15:11'16""",0.32,Forage,,face-front/back(Night),
"15:11'16""","15:11'16""",0.16,Forage,,,
"15:11'16""","15:11'17""",0.16,Forage,,face-front/back(Night),
"15:11'17""","15:11'17""",0.16,Forage,,,
"15:11'17""","15:11'18""",1.04,Forage,,Night,
"15:11'19""","15:11'20""",1.20,Dig,,face-front/back(Night),
"15:11'20""","15:11'20""",0.08,Forage,,face-right(Night),
"15:11'20""","15:11'21""",0.72,Forage,,,
"15:11'21""","15:11'21""",0.20,Dig,,face-front/back(Night),
"15:11'21""","15:11'22""",0.80,Forage,,,
"15:11'22""","15:11'22""",0.28,Dig,,Night,
"15:11'23""","15:11'23""",0.08,Forage,,,
"15:11'23""","15:11'23""",0.28,Dig,,Night,
"15:11'23""","15:11'23""",0.08,Forage,,face-front/back(Night),
"15:11'23""","15:11'23""",0.16,Dig,,Night,
"15:11'23""","15:11'29""",6.04,Unknown Behavior,,,
"15:11'29""","15:11'30""",0.88,Dig,,Night,
"15:11'30""","15:11'30""",0.20,Forage,,,
"15:11'30""","15:11'31""",0.76,Remain Partially Reared,,Night,
"15:11'31""","15:11'31""",0.12,Forage,,face-front/back(Night),
"15:11'31""","15:11'31""",0.24,Dig,,Night,
"15:11'36""","15:11'36""",0.20,Forage,,Night,
"15:11'37""","15:11'37""",0.16,Forage,,,
"15:11'37""","15:11'38""",0.64,Dig,,face-front/back(Night),
"15:11'38""","15:11'38""",0.16,Forage,,Night,
"15:11'38""","15:11'39""",0.44,Forage,,Night,
"15:11'39""","15:11'39""",0.48,Dig,,face-front/back(Night),
"15:11'39""","15:11'39""",0.08,Forage,,Night,
"15:11'39""","15:11'39""",0.16,Dig,,,
"15:11'40""","15:11'40""",0.48,Dig,,,
"15:11'40""","15:11'40""",0.08,Forage,,Night,
"15:11'40""","15:11'41""",0.24,Dig,,face-front/back(Night),
"15:11'41""","15:11'41""",0.36,Forage,,face-front/back(Night),
"15:11'41""","15:11'41""",0.08,Forage,,Night,
"15:11'41""","15:11'41""",0.12,Forage,,,
"15:11'41""","15:11'41""",0.08,Forage,,,
"15:11'41""","15:11'42""",0.48,Dig,,Night,
"15:11'43""","15:11'43""",0.40,Dig,,Night,
"15:11'43""","15:11'43""",0.28,Forage,,,
"15:11'43""","15:11'44""",0.24,Dig,,,
"15:11'44""","15:11'44""",0.16,Forage,,,
"15:11'44""","15:11'44""",0.52,Dig,,,
"15:11'44""","15:11'45""",0.28,Forage,,,
"15:11'45""","15:11'45""",0.24,Dig,,face-front/back(Night),
"15:11'45""","15:11'46""",0.12,Forage,,Night,
"15:11'46""","15:11'46""",0.16,Dig,,Night,
"15:11'46""","15:11'46""",0.08,Forage,,Night,
"15:11'46""","15:11'46""",0.20,Dig,,Night,
"15:11'47""","15:11'48""",0.48,Dig,,Night,
"15:11'48""","15:11'48""",0.36,Dig,,Night,
"15:11'48""","15:11'48""",0.16,Forage,,Night,
"15:11'49""","15:11'49""",0.24,Forage,,Night,
"15:11'49""","15:11'49""",0.16,Dig,,Night,
"15:11'49""","15:11'49""",0.24,Forage,,Night,
"15:11'49""","15:11'50""",0.56,Dig,,Night,
"15:11'50""","15:11'50""",0.68,Forage,,Night,
"15:11'50""","15:11'51""",0.24,Dig,,Night,
"15:11'51""","15:11'51""",0.12,Forage,,Night,
"15:11'51""","15:11'52""",0.92,Dig,,Night,
"15:11'52""","15:11'52""",0.32,Forage,,Night,
"15:11'52""","15:11'52""",0.28,Dig,,Night,
"15:11'53""","15:11'54""",0.68,Forage,,Night,
"15:11'56""","15:11'56""",0.24,Forage,,Night,
"15:11'56""","15:11'57""",0.40,Forage,,Night,
"15:11'57""","15:11'57""",0.24,Dig,,Night,
"15:12'00""","15:12'00""",0.16,Forage,,Night,
"15:12'00""","15:12'00""",0.28,Forage,,Night,
"15:12'01""","15:12'01""",0.32,Forage,,Night,
"15:12'01""","15:12'01""",0.36,Dig,,Night,
"15:12'01""","15:12'02""",0.24,Forage,,Night,
"15:12'02""","15:12'02""",0.16,Forage,,Night,
"15:12'02""","15:12'02""",0.32,Forage,,Night,
"15:12'02""","15:12'03""",0.28,Dig,,Night,
"15:12'04""","15:12'04""",0.24,Dig,,Night,
"15:12'04""","15:12'05""",0.96,Forage,,Night,
"15:12'05""","15:12'05""",0.16,Dig,,Night,
"15:12'06""","15:12'07""",0.72,Dig,,Night,
"15:12'07""","15:12'07""",0.16,Forage,,Night,
"15:12'09""","15:12'09""",0.56,Dig,,Night,
"15:12'09""","15:12'09""",0.20,Dig,,Night,
"15:12'13""","15:12'13""",0.32,Forage,,Night,
"15:12'13""","15:12'13""",0.16,Dig,,Night,
"15:12'17""","15:12'17""",0.08,Forage,,Night,
"15:12'17""","15:12'17""",0.24,Forage,,Night,
"15:12'17""","15:12'17""",0.16,Dig,,Night,
"15:12'17""","15:12'18""",0.36,Dig,,Night,
"15:12'18""","15:12'18""",0.20,Forage,,Night,
"15:12'21""","15:12'21""",0.08,Forage,,Night,
"15:12'21""","15:12'22""",0.68,Dig,,Night,
"15:12'25""","15:12'25""",0.16,Dig,,Night,
"15:12'25""","15:12'25""",0.20,Forage,,Night,
"15:12'25""","15:12'26""",0.64,Dig,,Night,
"15:12'26""","15:12'27""",0.40,Dig,,Night,
"15:12'27""","15:12'27""",0.08,Forage,,Night,
"15:12'27""","15:12'27""",0.16,Dig,,Night,
"15:12'27""","15:12'28""",0.16,Forage,,Night,
"15:12'28""","15:12'28""",0.24,Dig,,Night,
"15:12'28""","15:12'28""",0.20,Forage,,Night,
"15:12'28""","15:12'28""",0.20,Dig,,Night,
"15:12'28""","15:12'28""",0.16,Forage,,Night,
"15:12'32""","15:12'32""",0.36,Dig,,Night,
"15:12'32""","15:12'33""",0.28,Forage,,Night,
"15:12'33""","15:12'34""",0.28,Forage,,Night,
"15:12'34""","15:12'34""",0.20,Dig,,Night,
"15:12'35""","15:12'35""",0.16,Forage,,Night,
"15:12'35""","15:12'35""",0.20,Dig,,Night,
"15:12'35""","15:12'36""",0.16,Forage,,Night,
"15:12'36""","15:12'36""",0.64,Forage,,Night,
"15:12'36""","15:12'37""",0.20,Dig,,,
"15:12'37""","15:12'37""",0.08,Forage,,>PLR(Night),
"15:12'37""","15:12'38""",0.40,Dig,,>PLR(Night),
"15:12'39""","15:12'39""",0.08,Forage,,Night,
"15:12'39""","15:12'40""",0.52,Dig,,Night,
"15:12'42""","15:12'42""",0.20,Forage,,Night,
"15:12'42""","15:12'44""",1.80,Dig,,>PLR(Night),
"15:12'44""","15:12'44""",0.12,Forage,,Night,
"15:12'44""","15:12'44""",0.44,Dig,,Night,
"15:12'48""","15:12'51""",2.72,Dig,,Night,
"15:12'51""","15:12'52""",0.08,Forage,,Night,
"15:12'52""","15:12'53""",1.68,Dig,,Night,
"15:12'53""","15:12'53""",0.12,Forage,,Night,
"15:12'53""","15:12'54""",0.28,Dig,,Night,
"15:12'54""","15:12'54""",0.12,Forage,,Night,
"15:12'54""","15:12'54""",0.64,Dig,,Night,
"15:12'54""","15:12'55""",0.16,Forage,,Night,
"15:12'55""","15:12'55""",0.28,Dig,,Night,
"15:12'55""","15:12'55""",0.12,Forage,,Night,
"15:12'55""","15:12'55""",0.24,Dig,,Night,
"15:12'55""","15:12'55""",0.16,Forage,,Night,
"15:12'55""","15:12'56""",0.36,Dig,,Night,
"15:12'56""","15:12'56""",0.16,Forage,,Night,
"15:12'56""","15:12'57""",1.08,Dig,,Night,
"15:12'58""","15:12'58""",0.08,Forage,,Night,
"15:12'58""","15:12'58""",0.40,Dig,,Night,
"15:12'59""","15:12'59""",0.16,Forage,,Night,
"15:12'59""","15:12'59""",0.28,Dig,,Night,
"15:13'00""","15:13'00""",0.64,Forage,,Night,
"15:13'01""","15:13'01""",0.32,Forage,,Night,
"15:13'01""","15:13'02""",0.20,Dig,,Night,
"15:13'02""","15:13'02""",0.52,Forage,,Night,
"15:13'02""","15:13'03""",0.16,Dig,,,
"15:13'04""","15:13'05""",0.08,Forage,,,
"15:13'05""","15:13'05""",0.48,Dig,,face-front/back(Night),
"15:13'06""","15:13'07""",1.28,Dig,,Night,
"15:13'07""","15:13'07""",0.12,Forage,,,
"15:13'07""","15:13'07""",0.28,Dig,,Night,
"15:13'07""","15:13'07""",0.12,Forage,,,
"15:13'07""","15:13'08""",0.20,Dig,,Night,
"15:13'08""","15:13'08""",0.84,Forage,,face-front/back(Night),
"15:13'08""","15:13'09""",0.12,Forage,,,
"15:13'09""","15:13'09""",0.20,Dig,,Night,
"15:13'09""","15:13'10""",1.04,Forage,,Night,
"15:13'12""","15:13'12""",0.44,Forage,,Night,
"15:13'13""","15:13'14""",1.24,Dig,,Night,
"15:13'14""","15:13'14""",0.32,Forage,,Night,
"15:13'14""","15:13'14""",0.24,Dig,,Night,
"15:13'15""","15:13'16""",1.44,Dig,,Night,
"15:13'16""","15:13'18""",1.60,Dig,,Night,
"15:13'18""","15:13'18""",0.08,Forage,,Night,
"15:13'18""","15:13'18""",0.44,Dig,,Night,
"15:13'18""","15:13'18""",0.16,Forage,,Night,
"15:13'19""","15:13'19""",0.28,Forage,,Night,
"15:13'19""","15:13'19""",0.52,Dig,,Night,
"15:13'19""","15:13'21""",1.32,Forage,,Night,
"15:13'21""","15:13'22""",1.04,Forage,,Night,
"15:13'22""","15:13'22""",0.24,Dig,,Night,
"15:13'23""","15:13'25""",1.64,Forage,,>PLF(Night),
"15:13'25""","15:13'26""",0.84,Forage,,Night,
"15:13'26""","15:13'27""",0.28,Forage,,,
"15:13'27""","15:13'27""",0.08,Forage,,Night,
"15:13'27""","15:13'28""",0.96,Dig,,Night,
"15:13'28""","15:13'28""",0.08,Forage,,Night,
"15:13'28""","15:13'29""",1.36,Dig,,Night,
"15:13'30""","15:13'31""",0.92,Dig,,Night,
"15:13'32""","15:13'32""",0.40,Forage,,Night,
"15:13'32""","15:13'33""",0.08,Forage,,Night,
"15:13'33""","15:13'34""",1.16,Dig,,Night,
"15:13'34""","15:13'36""",2.44,Dig,,Night,
"15:13'36""","15:13'36""",0.16,Forage,,Night,
"15:13'37""","15:13'37""",0.20,Forage,,Night,
"15:13'37""","15:13'38""",0.56,Dig,,Night,
"15:13'40""","15:13'40""",0.60,Dig,,Night,
"15:13'41""","15:13'42""",0.36,Forage,,Night,
"15:13'43""","15:13'44""",0.64,Dig,,Night,
"15:13'44""","15:13'45""",0.84,Dig,,Night,
"15:13'46""","15:13'47""",1.72,Dig,,Night,
"15:13'47""","15:13'48""",0.16,Forage,,Night,
"15:13'50""","15:13'50""",0.28,Forage,,Night,
"15:13'50""","15:13'50""",0.16,Dig,,Night,
"15:13'55""","15:13'56""",0.68,Dig,,Night,
"15:14'00""","15:14'01""",0.60,Dig,,Night,
"15:14'01""","15:14'01""",0.08,Forage,,Night,
"15:14'01""","15:14'01""",0.32,Dig,,,
"15:14'02""","15:14'03""",1.12,Dig,,Night,
"15:14'03""","15:14'03""",0.20,Forage,,face-front/back(Night),
"15:14'03""","15:14'04""",0.08,Forage,,Night,
"15:14'04""","15:14'04""",0.28,Forage,,Night,
"15:14'04""","15:14'05""",0.60,Dig,,Night,
"15:14'05""","15:14'05""",0.20,Forage,,Night,
"15:14'05""","15:14'06""",0.20,Dig,,Night,
"15:14'17""","15:14'17""",0.40,Forage,,Night,
"15:14'17""","15:14'18""",0.16,Dig,,Night,
"15:14'18""","15:14'18""",0.24,Forage,,Night,
"15:14'18""","15:14'19""",0.16,Dig,,Night,
"15:14'26""","15:14'27""",0.60,Forage,,Night,
"15:14'27""","15:14'28""",0.32,Forage,,Night,
"15:14'28""","15:14'28""",0.16,Dig,,Night,
"15:14'34""","15:14'35""",1.00,Dig,,Night,
"15:14'36""","15:14'37""",1.40,Dig,,Night,
"15:14'39""","15:14'40""",0.84,Dig,,Night,
"15:14'40""","15:14'41""",0.36,Dig,,Night,
"15:14'41""","15:14'41""",0.20,Forage,,Night,
"15:14'44""","15:14'44""",0.20,Dig,,Night,
"15:14'44""","15:14'44""",0.08,Forage,,Night,
"15:14'44""","15:14'44""",0.16,Forage,,Night,
"15:14'46""","15:14'46""",0.48,Dig,,Night,
"15:14'51""","15:14'54""",3.12,Unknown Behavior,,Night,
"15:14'54""","15:14'54""",0.12,Forage,,Night,
"15:14'54""","15:14'55""",0.20,Forage,,,
"15:14'55""","15:14'55""",0.16,Dig,,Night,
"15:14'55""","15:15'01""",6.52,Unknown Behavior,,face-front/back(Night),
"15:15'01""","15:15'02""",0.52,Forage,,,
"15:15'02""","15:15'02""",0.08,Forage,,,
"15:15'02""","15:15'02""",0.32,Dig,,face-front/back(Night),
"15:15'03""","15:15'03""",0.16,Dig,,face-front/back(Night),
"15:15'03""","15:15'03""",0.08,Forage,,,
"15:15'03""","15:15'03""",0.32,Dig,,,
"15:15'03""","15:15'04""",0.28,Forage,,face-front/back(Night),
"15:15'04""","15:15'04""",0.16,Dig,,,
"15:15'05""","15:15'06""",1.20,Forage,,Night,
"15:15'07""","15:15'08""",0.44,Forage,,Night,
"15:15'08""","15:15'08""",0.16,Dig,,Night,
"15:15'08""","15:15'15""",7.48,Unknown Behavior,,Night,
"15:15'15""","15:15'27""",12.24,Unknown Behavior,,Night,
"15:15'27""","15:15'28""",0.84,Forage,,Night,
"15:15'29""","15:15'29""",0.48,Forage,,Night,
"15:15'31""","15:15'32""",1.64,Forage,,Night,
"15:15'33""","15:15'34""",0.68,Forage,,Night,
"15:15'34""","15:15'37""",2.88,Unknown Behavior,,Night,
"15:15'37""","15:15'38""",0.52,Dig,,Night,
"15:15'38""","15:15'39""",1.56,Forage,,,
"15:15'39""","15:15'41""",1.16,Forage,,,
"15:15'45""","15:15'45""",0.52,Forage,,Night,
"15:15'45""","15:15'52""",6.72,Unknown Behavior,,Night,
"15:15'52""","15:15'53""",0.96,Forage,,Night,
"15:15'54""","15:15'54""",0.60,Forage,,Night,
"15:15'56""","15:15'57""",0.32,Dig,,Night,
"15:15'57""","15:15'57""",0.16,Forage,,,
"15:15'57""","15:15'57""",0.12,Forage,,Night,
